ISIN,Security_Code,Security_Name
INE372A01015,APARINDS,Apar Industries Limited
INE01QM01018,EMUDHRA,eMudhra Ltd
INE02NC01014,FINOPB,Fino Payments Bank Limited
INE09N301011,FLUOROCHEM,Gujarat Fluorochemicals Limited
INE066P01011,INOXWIND,Inox Wind Limited
INE303R01014,KALYANKJIL,Kalyan Jewellers India Limited
INE918Z01012,KAYNES,Kaynes Technology India Ltd
INE745G01035,MCX,MULTI COMMODITY EXCHANGE OF INDIA LTD.
INF179KB1HP9,119091,HDFC Liquid Fund Direct Plan Growth Option
INE665J01013,VMART,V-MART RETAIL LTD
INE111Q01021,PDSMFL,PDS Ltd
INE619B01017,NEWGEN,Newgen Software Technologies Limited
INE780C01023,JMFINANCIL,JM FINANCIAL LTD
INE08LI01020,KRSNAA,Krsnaa Diagnostics Limited
INE004A01022,NSDEOVI1,Protean Egov Technologies Ltd
INE052I01032,CAMLINFINE,Camlin Fine Sciences Ltd
INE851I01011,UPSERVI,Updater Services Limited
INF769K01LU5,152718,Mirae Asset Nifty200 Alpha 30 ETF Fund of Fund - Direct Plan - Growth
INF769K01LG4,152459,Mirae Asset Nifty Smallcap 250 Momentum Quality 100 ETF Fund of Fund - Direct Plan - Growth
INE07K301024,ZAGPREOS,Zaggle Prepaid Ocean Services Ltd
INF109KC1V18,149283,ICICI Prudential Nifty Smallcap 250 Index Fund - Direct Plan - Growth
INE980Y01015,SOUWESPE,South West Pinnacle Exploration Ltd
INE1NPP01017,SIEMENSENERGY,Siemens Energy India Ltd
INE152M01016,TRITURBINE,TRIVENI TURBINE LTD
INE805D01034,SUNTECK,SUNTECK REALTY LTD
INF194KB1HA2,INF194KB1HA2,Bandhan Nifty Alpha 50 Index Fund - Direct Plan - Growth
INF740KA1UM0,DSBLRE_SC,DSP BSE Liquid Rate ETF
INE292B01021,HBLPOWER,HBL Engineering Ltd
INF204KB15W0,INF204KB15W0,Nippon India Nifty Smallcap 250 Index Fund
INE445C01015,XPROINDIA,XPRO INDIA LTD
INE095I01015,PPAP,PPAP Automotive Ltd
INF959L01FX6,149892,Navi Nifty Midcap 150 Index Fund Direct Plan- Growth
INF247L01932,147623,Motilal Oswal Nifty Smallcap 250 Index Fund - Direct - Growth
INF109K012M7,120620,ICICI Prudential Nifty Index Fund - Direct Plan Cumulative Option
INE472A01039,BLUESTARCO,Blue Star Limited
INE371A01025,GRAPHITE,GRAPHITE INDIA LTD.
INE115Q01022,INVKNOSO,Inventurus Knowledge Solutions Ltd
INE557A01011,HIL,Birlanu Ltd
INE07U701015,IRMENERG,IRM Energy Limited
INE545U01014,BANDHANBANK,Bandhan Bank Ltd
INE0ONG01011,NTPGREEN,NTPC Green Energy Ltd
INE0W2G01015,SAGILITY,Sagility Ltd
INE338H01029,CONBIOTE,Concord Biotech Ltd
INE531A01024,KANSAINER,Kansai Nerolac Paints Ltd
INE417T01026,POLICYBZR,PB Fintech Limited
INE475E01026,CAPLIPOINT,Caplin Point Laboratories Limited
INE686A01026,ITDCEM,Cemindia Projects Ltd
INE191H01014,PVR,PVR INOX Limited
INE0AG901020,CEIGALL,Ceigall India Limited
INE024L01027,GRAVITA,Gravita India Limited
INE490G01020,MOIL,MOIL LTD
INE332A01027,THOMASCOOK,Thomas Cook India Ltd
INE239C01020,STYLAMIND,Stylam Industries Ltd
INE225D01027,SYMPHONY,Symphony Ltd.
INE0JA001018,VENPIPTU,Venus Pipes & Tubes Ltd
INE750C01026,MARKSANS,MARKSANS PHARMA LTD
INF179KC1BQ9,HNNIDG,HDFC NIFTY Next50 Index Fund Direct Growth
INE488A01050,CHEMPLAST,Chemplast Sanmar Ltd
INE835G01018,ALLSEC,Alldigi Tech Ltd
INE098F01031,AMRUTANJAN,AMRUTANJAN
INE510W01014,INOWINIS,Inox Green Energy Services Ltd
INE324L01013,RPPIPROJ,RPP Infra Projects Ltd
INE04I401011,KPITTECH,KPIT Technologies Limited
INE715A01015,WHEELS,WHEELS INDIA LTD.
INE872J01023,DEVYANI,DEVYANI INTERNATIONAL LIMITED
INE880L01014,KIOCL,KIOCL Limited
INE683A01023,SOUTHBANK,THE SOUTH INDIAN BANK LIMITED
INE123F01029,MMTC,MMTC Ltd
INE362A01016,PVP,PVP Ventures Ltd
INE883N01014,PARAGMILK,Parag Milk Foods Ltd
INE821I01022,IRB,IRB Infrastructure Developers Limited
INE274G01010,IBSEC,Dhani Services Limited
INE735W01017,UTKSMAFB,Utkarsh Small Finance Bank Ltd
INE742C01031,JINDRILL,Jindal Drilling & Industries Limited
INE256A01028,ZEEL,Zee Entertainment Enterprises Limited
INE0KL801015,DCXINDIA,DCX Systems Ltd
INE530B01024,INDIAINFO,IIFL Finance Ltd
INE217L01019,SHRPROP1,Shriram Properties Ltd
INE0TNW01017,QUELABOR,Quest Laboratories Ltd
INE0RRU01016,INDEMULSIFIER,Indian Emulsifiers Ltd
INE084A01016,BOI,BANK OF INDIA
INE763I01026,TRIL,Transformers and Rectifiers India Ltd
INE572J01011,SPASPHFI,Spandana Sphoorty Financial Ltd
INE668F01031,JYOTHYLAB,JYOTHY LABORATORIES LTD
INE549A01026,HCC,Hindustan Construction Company Ltd
INF247L01AE7,147794,Motilal Oswal Nifty 50 Index FundMOFNIFTY50 - Direct - Growth
INF846KA1119,ANV5E_SC,Axis Nifty500 Value 50 ETF
INE494B04019,TVSMOTORNCPRS,TVS Motor Company Ltd - 6% NCRPS
INE614B01018,KTKBANK,KARNATAKA BANK LTD
INE224A01026,GREAVESCOT,GREAVES COTTON LTD.
INE732A01036,KIRLOSBROS,Kirloskar Brothers Ltd
INE0BY001018,JUBIINGRE,Jubilant Ingrevia Limited
INE299U01018,CGCEL,Crompton Greaves Consumer Electrical Ltd
INF194KB1IT0,152855,Bandhan Nifty Midcap 150 Index Fund-Direct Plan-Growth
INF194KB1CR7,149832,BANDHAN NIFTY 100 INDEX FUND - DIRECT PLAN - GROWTH
INF194KB1DP9,150591,BANDHAN NIFTY200 MOMENTUM 30 INDEX FUND - GROWTH - DIRECT PLAN
INF247L01916,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct - Growth
INE152B01027,GATI,Allcargo Gati Ltd
INF194KB1KB4,153838,Bandhan BSE India Sector Leaders Index Fund - Direct Plan - Growth
INF194KB1IK9,152716,Bandhan Nifty Total Market Index Fund - Direct Plan - Growth
INE766P01016,MAHILOG,Mahindra Logistics Ltd
INE317F01035,NESCO,Nesco Ltd
INE0GMR01016,SWASUITI,Swaraj Suiting Ltd
INE201M01029,CLEDUCAT,CL Educate Ltd
INE809I01019,ONMOBILE,Onmobile Global Ltd
INE345A01011,HINDOILEXP,Hindustan Oil Exploration Company Ltd
INE07U701015,IRMENERG,IRM Energy Ltd
