ISIN,Security_Code,Security_Name
INF247L01AV1,149800,Motilal Oswal Nifty 200 Momentum 30 Index Fund-Direct Plan
INF109K012B0,120377,ICICI Prudential Balanced Advantage Fund - Direct - Growth
INF247L01916,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct - Growth
INF247L01932,147623,Motilal Oswal Nifty Smallcap 250 Index Fund - Direct - Growth
INE849A01020,TRENT,Trent Ltd
INE114A01011,SAIL,Steel Authority Of India Ltd
INF109KC16X5,IPNV3E_SC,ICICI Prudential Nifty200 Value 30 ETF
INE118A01012,BAJAJHLDNG,BAJAJ HOLDINGS and INVESTMENT LTD
INE089A01031,DRREDDYS,Dr ReddyS Laboratories Ltd
INF769K01HY5,149787,Mirae Asset Nifty India Manufacturing ETF FOF - Direct Plan- IDCW
INF740KA1UF4,DNHE_SC,DSP Nifty Healthcare ETF
INF109KC16J4,150643,ICICI Prudential Nifty Auto Index Fund - Direct Plan - Growth
INF769K01LN0,152645,Mirae Asset Nifty MidSmallcap400 Momentum Quality 100 ETF Fund of Fund - Direct Plan - Growth
INE008A01015,IDBI,IDBI BANK LIMITED
INE376G01013,BIOCON,BIOCON LTD
INF769K01KV5,MANIE_SC,Mirae Asset Nifty IT ETF
INE536H01010,MAHINDFORG,CIE Automotive India Ltd
INF109KC13E2,150468,ICICI Prudential Nifty IT Index Fund-Direct Plan-Growth
INE206F01022,AUTINVAI,Authum Investment and Infrastructure Ltd
INE918I01026,BAJAJFINSV,BAJAJ FINSERV LTD
INE498L01015,LTFH,L&T Finance Ltd
INE2KCE01013,KWIL,Kwality Walls India Ltd
INE068V01023,GLAND,Gland Pharma Limited
INE127D01025,HDFCAMC,HDFC Asset Management Company Ltd
INE158A01026,HEROHONDA,Hero Motocorp Ltd
INE089C01029,STRTECH,Sterlite Technologies Ltd
INE08LI01020,KRSNAA,Krsnaa Diagnostics Limited
INE132H01018,AURSOLUT,AurionPro Solutions Ltd
INE347G01014,PETRONET,Petronet LNG Limited
INE052I01032,CAMLINFINE,Camlin Fine Sciences Ltd
INE780C01023,JMFINANCIL,JM FINANCIAL LTD
INE665J01013,VMART,V-MART RETAIL LTD
INE805D01034,SUNTECK,SUNTECK REALTY LTD
INE111Q01021,PDSMFL,PDS Ltd
INE835G01018,ALLSEC,Alldigi Tech Ltd
INE415A01038,HSIL,Agi Greenpac Limited
INE557A01011,HIL,Birlanu Ltd
INE668F01031,JYOTHYLAB,JYOTHY LABORATORIES LTD
INE317F01035,NESCO,Nesco Ltd
INE362A01016,PVP,PVP Ventures Ltd
INE075I01017,HCG,HealthCare Global Enterprises Ltd
INE258G01013,SUMICHEM,Sumitomo Chemical India Limited
INE258A01024,BEML,BEML Ltd
INE684F01012,FSL,Firstsource Solutions Limited
INE151A01013,TATACOM,Tata Communications Ltd
INE259A01022,COLPAL,COLGATE PALMOLIVE INDIA LTD
INF740KA1TW1,152243,DSP Nifty Smallcap250 Quality 50 Index Fund-Direct-Growth
INF109KC11M9,150930,ICICI Prudential Nifty Pharma Index Fund - Direct Plan - Growth
INF740KA1WF0,153594,DSP Nifty Healthcare Index Fund - Direct- Growth
INF277KA1BG3,152564,Tata Nifty MidSmall Healthcare Index Fund - Direct Plan - Growth
INF109KC1W58,149389,ICICI Prudential Nifty Midcap 150 Index Fund - Direct Plan - Growth
INE00WC01027,AFFLE,Affle 3i Ltd
INE325A01013,TIMKEN,TIMKEN INDIA LTD.
INF109KC1GH2,143874,ICICI Prudential Pharma Healthcare and Diagnostics Fund - Direct - Growth
INE237A01036,KMBANK,Kotak Mahindra Bank Ltd
INF109KC1Q72,ICICIPHARM,ICICI Prudential Nifty Healthcare ETF
INE585B01010,MARUTI,Maruti Suzuki India Ltd
INE571A01038,IPCALAB,Ipca Laboratories Limited
INE027H01010,MAXHEALTH,Max Healthcare Institute Ltd
INE168A01041,JKBANK,JAMMU & KASHMIR BANK LTD.
INE670K01029,LODHA,Lodha Developers Ltd
INE239C01020,STYLAMIND,Stylam Industries Ltd
INE274J01014,OIL,Oil India Limited
INE0LZO01015,DUCORGAC,Ducol Organics and Colours Ltd
INE178A01016,CPC,Chennai Petroleum Corporation Limited
,OTHERINCOME,Other Income
INE749A01030,JINDALSTEEL,Jindal Steel & Power Limited
INE388Y01029,NYKAA,FSN E-Commerce Ventures Ltd
INE040A01034,HDFCBANK,HDFC Bank Ltd
INE465A01025,BHARATFORG,BHARAT FORGE LTD
INE674K01013,ADITYABIRLA,Aditya Birla Capital Ltd
INF109K01Z14,120587,ICICI Prudential FMCG - Direct -  Growth
INE399G01023,RKFORGE,RAMKRISHNA FORGINGS LTD
INE725E01024,ORISSAMINE,THE ORISSA MINERALS DEVELOPMENT CO. LTD
INE066F01020,HAL,Hindustan Aeronautics Limited
INE299U01018,CGCEL,Crompton Greaves Consumer Electrical Ltd
INF109K01R14,120211,ICICI Prudential Money Market Fund Option - Direct Plan -  Growth
INF179KB1HU9,119092,HDFC Money Market Fund - Direct Plan - Growth Option
INE0DD101019,RAILTEL,Railtel Corporation Of India Limited
INE545U01014,BANDHANBANK,Bandhan Bank Ltd
INE872J01023,DEVYANI,DEVYANI INTERNATIONAL Ltd
INE364U01010,ADANIGREEN,Adani Green Energy Limited
INE531F01023,NWML,Nuvama Wealth Management Ltd
INE021A01026,ASIANPAINTS,Asian Paints Ltd
INE470A01017,3MINDIA,3M INDIA LTD
INE931S01010,ADANITRANS,Adani Energy Solutions Limited
INE148I01020,IBULHSGFIN,Sammaan Capital Ltd
INE868B01028,NCC,NCC Ltd
INE750C01026,MARKSANS,MARKSANS PHARMA LTD
INF204KB14I2,NIFTYBEES,Nippon India ETF Nifty 50 BeES
INE003A01024,SIEMENS,SIEMENS LTD
INF109KC17L8,FINIETF,ICICI Prudential Nifty Financial Services Ex-Bank ETF
INF247L01EV3,MONCME_SC,Motilal Oswal Nifty Capital Market ETF
INF769K01LY7,MANME_SC,Mirae Asset Nifty Metal ETF
INF204KC1089,NETFPHARMA,Nippon India Nifty Pharma ETF
INF209KB17D5,ABSLBANETF,Aditya Birla Sun Life Nifty Bank ETF
INE227W01023,CLEAN,Clean Science and Technology Ltd
INF247L01023,M100,Motilal Oswal Nifty Midcap 100 ETF
INE813H01021,TORNTPOWER,Torrent Power Ltd
INE226A01021,VOLTAS,Voltas Limited
INE715A01015,WHEELS,WHEELS INDIA LTD.
INE101A01026,MM,Mahindra and Mahindra Ltd
INE522F01014,COALINDIA,Coal India Ltd.
INE752E01010,POWERGRID,Power Grid Corporation Of India Limited
INE018A01030,LT,Larsen and Toubro Ltd
INF179KC1FB2,HNS2E_SC,HDFC NIFTY Smallcap 250 ETF
INF769K01OO2,MANEWE_SC,Mirae Asset Nifty50 Equal Weight ETF
INE047A01021,GRASIM,Grasim Industries Ltd
INF959L01FP2,149039,Navi Nifty 50 Index Fund-Direct Plan-Growth
INE195A01028,SUPREMEIND,Supreme Industries Limited
INF740KA1UM0,DSBLRE_SC,DSP BSE Liquid Rate ETF
INF740KA1UR9,DSPNIFTY10,DSP Nifty Top 10 Equal Weight ETF
INE699H01024,AWL,AWL Agri Business Ltd
INE066P01011,INOXWIND,Inox Wind Limited
INE776C01039,GMRINFRA,GMR Airports Ltd
INE016A01026,DABUR,Dabur India Ltd
INE280A01028,TITAN,TITAN COMPANY LIMITED
INE974X01010,TUBEINVEST,TUBE INVESTMENTS OF INDIA LIMITED
INE854D01024,UNITEDSPIRITS,United Spirits Ltd
INE216A01030,BRITANNIA,Britannia Industries Ltd.
INE767A01016,AARTIDRUGS,Aarti Drugs Ltd
INF174KA1OR7,151911,Kotak Nifty Financial Services Ex-Bank Index Fund - Direct Plan - Growth
INF740KA1UQ1,152814,DSP Nifty Top 10 Equal Weight Index Fund - Direct - Growth
INE0GMR01016,SWASUITI,Swaraj Suiting Ltd
INE445C01015,XPROINDIA,XPRO INDIA LTD
INE146L01010,KIRLOSENG,Kirloskar Oil Engines Ltd
INF179KC1BY3,149868,HDFC NIFTY 100 Index Fund - Direct Plan - Growth Option
INF174KA1PD4,152064,Kotak Multi Asset Allocation Fund - Direct Plan - Growth Option
INE067A01029,CROMPTON,CG Power and Industrial Solutions Ltd
INE079A01024,AMBUJACEM,Ambuja Cements Ltd
INE423A01024,ADANIENT,Adani Enterprises Limited
INE845D01014,GANECOS,Ganesha Ecosphere Ltd
INF179KB1HP9,119091,HDFC Liquid Fund Direct Plan Growth Option
INE059A01026,CIPLA,Cipla Ltd
INE028A01039,BOB,Bank of Baroda
INE271C01023,DLF,DLF Limited
INE019A01038,JSWSTEEL,JSW Steel Limited
INE239A01024,NESTLEIND,Nestle India Ltd
INE663F01032,NAUKRI,Info Edge India Ltd
INE192A01025,TATAGLOBAL,TATA Consumer Products Ltd
INE070A01015,SHREECEM,Shree Cement Limited
INE685A01028,TORNTPHARM,TORRENT PHARMACEUTICALS LIMITED
INE646L01027,INDIGO,InterGlobe Aviation Limited
INE123W01016,SBILIFE,SBI Life Insurance Company Limited
INE1NPP01017,SIEMENSENERGY,Siemens Energy India Ltd
INF769K01IB1,MAMFGETF,Mirae Asset Nifty India Manufacturing ETF
INF174KA1TM7,152916,Kotak Nifty Midcap 150 Momentum 50 Index Fund-Direct Plan-Growth
INF179KC1GC8,151724,HDFC NIFTY Midcap 150 Index Fund - Growth Option - Direct Plan
INE121E01018,JSWENERGY,JSW ENERGY LTD
INE126M01010,IBWSL,Indiabulls Ltd
INE123F01029,MMTC,MMTC Ltd
INE024L01027,GRAVITA,Gravita India Limited
INE615H01020,TWL,Titagarh Rail Systems Limited
INE332A01027,THOMASCOOK,Thomas Cook India Ltd
INE225D01027,SYMPHONY,Symphony Ltd
INE338H01029,CONBIOTE,Concord Biotech Ltd
INE510W01014,INOWINIS,Inox Green Energy Services Ltd
INE0AG901020,CEIGALL,Ceigall India Ltd
INE919H01018,IMFA,Indian Metals & Ferro Alloys Ltd
INE148O01028,INE148O01028,Delhivery Limited
INF769K01QM1,154216,Mirae Asset Nifty Metal ETF FOF - Direct Plan - Growth
INE120A01034,CARBORUNIV,CARBORUNDUM UNIVERSAL LTD
INE669E01016,IDEA,Vodafone Idea Limited
INE242A01010,IOC,INDIAN OIL CORPORATION LTD
INE121A01024,CHOLAFIN,Cholamandalam Investment and Finance Company Ltd
INE614B01018,KTKBANK,KARNATAKA BANK LTD
INE022Q01020,IEX,Indian Energy Exchange Ltd.
INF769K01LQ3,MANENNAAE_SC,Mirae Asset Nifty EV and New Age Automotive ETF
INE976I01016,TATCAPIT,Tata Capital Ltd
